"Gene_ID","Slyc_P3_m_1","Slyc_P3_m_2","Slyc_P3_m_3","Slyc_P4_d_1","Slyc_P4_d_2","Slyc_P4_d_3","Slyc_P4_p_1","Slyc_P4_p_2","Slyc_P4_p_3","Slyc_P5_d_1","Slyc_P5_d_2","Slyc_P5_d_3","Slyc_P5_p_1","Slyc_P5_p_2","Slyc_P5_p_3","Slyc_P6_d_1","Slyc_P6_d_2","Slyc_P6_d_3","Slyc_P6_p_1","Slyc_P6_p_2","Slyc_P6_p_3","Spen_P3_m_1","Spen_P3_m_2","Spen_P3_m_3","Spen_P4_d_1","Spen_P4_d_2","Spen_P4_d_3","Spen_P4_p_1","Spen_P4_p_2","Spen_P4_p_3","Spen_P5_d_1","Spen_P5_d_2","Spen_P5_d_3","Spen_P5_p_1","Spen_P5_p_2","Spen_P5_p_3","Spen_P6_d_1","Spen_P6_d_2","Spen_P6_d_3","Spen_P6_p_1","Spen_P6_p_2","Spen_P6_p_3","Shab_P3_m_1","Shab_P3_m_2","Shab_P3_m_3","Shab_P4_d_1","Shab_P4_d_2","Shab_P4_d_3","Shab_P4_p_1","Shab_P4_p_2","Shab_P4_p_3","Shab_P5_d_1","Shab_P5_d_2","Shab_P5_d_3","Shab_P5_p_1","Shab_P5_p_2","Shab_P5_p_3","Shab_P6_d_1","Shab_P6_d_2","Shab_P6_d_3","Shab_P6_p_1","Shab_P6_p_2","Shab_P6_p_3"
"Solyc00g007130.2.1",1,NA,2,1,4,3,4,3,2,3,4,1,6,3,2,2,3,3,3,1,2,NA,1,2,NA,1,NA,3,NA,NA,NA,NA,1,1,NA,1,1,NA,1,2,2,NA,3,2,3,3,1,2,2,NA,1,1,NA,1,1,NA,1,2,1,1,2,1,1
"Solyc00g007200.2.1",26,20,22,21,33,21,28,24,23,27,33,9,30,31,23,33,28,43,35,23,25,28,18,36,20,16,27,31,25,29,20,11,24,37,15,35,23,16,12,17,8,32,35,19,24,13,24,19,15,19,17,11,16,28,28,21,20,13,14,8,16,17,26
"Solyc00g311230.2.1",11,5,7,4,2,3,6,3,5,5,3,1,2,4,5,6,NA,3,11,2,NA,11,7,10,7,7,9,7,5,12,4,4,4,9,2,1,3,2,1,2,2,4,11,6,6,2,8,4,1,1,7,5,2,6,5,5,4,3,NA,6,6,5,6
"Solyc00g323130.2.1",4,NA,3,NA,NA,1,2,4,1,10,NA,2,10,3,1,21,8,13,7,5,4,3,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,4,1,2,NA,2,NA,2,NA,NA,14,5,1,2,3,NA,5,5,NA,NA,2,3,4,8,NA,8,4,4,10,5,5
"Solyc01g005060.2.1",26,11,9,15,20,8,15,12,21,6,7,1,16,19,13,13,3,9,13,10,6,15,5,8,8,4,3,10,13,9,10,2,7,13,6,9,13,7,3,10,4,8,29,17,18,8,2,3,15,8,15,3,6,8,10,15,8,9,5,4,16,7,5
"Solyc01g005300.2.1",123,159,161,106,154,117,108,185,145,109,173,45,171,209,107,111,82,87,118,124,76,58,52,95,38,29,86,60,54,68,74,28,54,120,41,69,68,83,47,82,36,90,99,64,98,123,73,80,55,76,116,91,81,94,95,72,98,79,43,77,118,86,99
"Solyc01g014470.1.1",NA,NA,NA,3,1,1,1,2,NA,1,1,NA,1,3,NA,1,2,1,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Solyc01g067030.2.1",1,2,5,3,8,4,3,2,2,3,1,NA,7,3,2,8,2,2,5,3,2,2,2,NA,2,1,NA,2,2,1,1,1,1,3,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solyc01g079260.2.1",25,17,24,8,12,6,11,8,11,18,20,8,17,9,11,18,12,12,11,10,23,2,10,23,5,3,14,11,7,20,8,6,6,11,4,10,9,9,8,2,22,9,10,5,13,3,6,5,6,16,12,3,26,17,9,13,16,4,6,20,9,26,8
"Solyc01g079980.2.1",22,13,15,6,6,13,24,22,15,23,22,6,29,22,11,39,23,22,32,15,14,11,6,6,11,3,16,12,6,16,9,6,12,14,6,19,4,7,5,4,5,6,11,5,2,1,1,1,4,4,5,2,1,1,4,3,5,2,NA,1,6,3,1
"Solyc01g080570.2.1",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,2,1,1,3,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA
"Solyc01g081570.2.1",97,84,66,40,55,32,45,68,50,64,25,12,77,61,42,125,64,89,70,67,42,70,82,116,94,89,138,111,90,107,173,142,177,172,158,308,159,244,230,166,169,272,85,51,77,39,27,31,29,50,70,48,48,58,72,62,70,98,106,106,91,55,81
"Solyc01g088130.2.1",2,2,2,2,1,2,2,1,3,3,2,NA,3,NA,1,1,1,2,4,1,1,NA,NA,NA,NA,1,2,NA,1,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,4,NA,NA,3,2,NA,4,6,1,2,NA,NA,2,NA,NA,1,1,3,2,1,3
"Solyc01g088250.2.1",35,14,12,21,30,11,22,22,23,54,28,12,44,41,26,73,38,51,123,55,60,8,12,10,9,10,8,43,44,17,17,10,8,62,25,20,22,36,17,25,32,26,20,9,9,9,13,6,7,9,11,17,13,12,38,32,36,32,29,14,78,53,50
"Solyc01g090800.2.1",11,4,4,NA,3,NA,2,3,NA,18,1,NA,8,NA,NA,1,2,1,3,5,2,21,19,25,NA,2,3,10,4,19,1,NA,1,6,1,22,2,NA,1,1,1,7,13,12,9,3,3,NA,3,6,4,NA,2,1,4,8,NA,6,2,3,6,2,6
"Solyc01g091140.2.1",8,2,5,3,6,3,7,6,6,5,4,NA,7,6,4,7,2,1,8,NA,2,1,1,NA,4,3,NA,1,3,1,1,1,2,3,3,4,2,4,3,NA,1,1,3,NA,2,4,1,1,4,2,3,3,3,1,2,3,3,7,2,7,4,5,1
"Solyc01g095450.2.1",16,16,12,11,9,7,8,22,5,30,4,8,23,5,8,40,32,27,29,17,8,50,38,70,78,63,80,81,82,74,36,19,45,118,56,123,20,8,19,24,9,36,42,8,11,29,23,5,9,14,12,35,29,22,34,28,20,104,82,55,74,49,37
"Solyc01g096260.2.1",10,8,7,3,13,8,22,8,13,8,4,4,10,8,13,9,10,17,23,15,33,7,18,34,3,8,5,13,18,20,4,4,3,14,7,20,1,7,7,12,7,24,16,9,5,5,2,1,14,12,12,6,4,12,9,11,16,4,1,2,23,20,27
"Solyc01g096280.1.1",13,4,1,2,6,NA,13,9,3,11,1,2,18,5,NA,3,1,NA,2,5,1,17,31,16,4,6,1,53,19,9,1,1,1,4,NA,NA,1,4,3,1,NA,1,55,19,29,9,7,1,23,28,9,1,4,1,32,28,12,4,1,NA,12,10,7
"Solyc01g099340.2.1",19,7,16,6,9,5,12,6,16,12,7,2,17,11,10,2,4,11,7,10,13,10,17,16,6,7,17,11,15,16,5,10,13,14,6,31,10,27,20,8,15,20,12,13,10,7,10,8,4,14,18,6,7,12,12,13,19,10,17,14,13,8,11
"Solyc01g102310.2.1",92,74,36,114,118,93,121,136,91,165,124,36,151,121,73,183,72,121,172,105,88,120,199,167,284,276,369,322,276,256,343,337,420,368,333,497,487,579,614,427,448,553,95,38,19,64,60,52,47,52,59,87,97,93,98,87,99,119,117,105,163,89,130
